sample_num,wg_drymass (mg),feces_drymass (mg),discolored (Y/N),wg_mold (Y/N/1-4),feces_mold (Y/N/1-4),general_notes,wg_notes,feces_notes,"Instructions: start with only the ones that are separately packed wg and feces (that don't say ""both"")"
4,125.43,5.47,N,,,,,,
7,85.14,13.38,N,,,,,,
22,118.24,9.36,N,,,,,,
124,121.5,1.8,N,,,,,,
157,118.87,2.92,N,,,,,,
97,110.78,17.73,N,,,,,,
112,117.5,0.39,N,,,,,,
93,129.05,4.13,N,,,,,,
150,130.08,0.39,N,,,,,,
75,89.94,11.82,N,,,,,possibly some bits of wg in there,
2,137.7,0.64,N,,,,,,
8,130.74,3.35,,,,,,,
94,92.91,17.1,,,,,,,
78,98.24,12.85,,,,,,,
50,125.12,2.86,,,,,,,
58,130.98,2.26,,,,,,,
77,132.11,4.65,,,,,,,
117,103.13,0.39,,,,,,,
149,119.33,0.24,,,,,,,
174,121.85,4.37,,,,,,,
171,134.81,2.64,,,,,,,
115,116.16,0.35,,,,,,,
99,113.78,1.41,,,,,,,
98,116.5,0.2,,,,,,,
146,124.7,2.77,,,,,,,
15?,128.23,5.94,,,,,,,
23,124.75,2.72,,,,,,,
30,133.59,1.21,,,,,,,
173,127.73,4.97,N,,,,,,
188,121.35,4.5,N,,,,,,
67,138.25,2.37,N,,,,,,
238,107.27,6.89,N,,,,,,
208,119.23,2.56,Y,,,,,,
177,127.66,3.34,N,,,,,,
256,113.91,4.4,Y,,,,,,
195,107.62,7.41,Y,,,,,,
219,110.3,3.93,Y,,,,,,
164,104.02,10.42,N,,,,,,
52,125.72,3.03,N,,,,,,
55,104.48,12.98,N,,,,,,
47,86.2,20.74,N,,,,,,
213,102.84,8.71,N,,,,,,
194,110.61,1.61,N,,,,,,
79,121,5.83,N,,,,,,
9,106.8,11.59,N,,,,,,
71,133.44,1.97,N,,,,,,
3,86.43,20.46,N,,,,,,
248,107.8,6.53,Y,,,,,,
182,103.82,3.97,N,,,,,,
200,102.55,2.79,Y,,,,,,
212,77.78,,Y,,,,,,
191,124.49,2.66,N,,,,,,
214,101.28,5.67,N,,,,,,
37,88.85,8.71,N,,,,,,
24,117.37,3.6,N,,,,,,
83,72.29,19.41,N,,,,,,
154,128.06,0.21,N,,,,,,
181,121.53,4.71,N,,,,,,
