full_ID,temp,wg,start_date,start_datetime,end_datetime,is_valid,notes
MB_A1_F_07,30,44,7/17/2023,7/17/2023 12:50:00 PM,7/17/2023 20:50:00,,
MB_A1_F_08,30,25,7/17/2023,7/17/2023 12:50:00 PM,7/17/2023 20:50:00,,
MB_A1_F_09,30,54,7/17/2023,7/17/2023 12:50:00 PM,7/17/2023 20:50:00,,
MB_A1_M_06,30,4,7/17/2023,7/17/2023 12:50:00 PM,7/17/2023 20:50:00,M,
MB_A1_M_07,30,73,7/17/2023,7/17/2023 12:50:00 PM,7/17/2023 20:50:00,,
MB_A1_M_08,30,39,7/17/2023,7/17/2023 12:50:00 PM,7/17/2023 20:50:00,,
MB_B1_F_10,30,43,7/17/2023,7/17/2023 12:50:00 PM,7/17/2023 20:50:00,M,
MB_B1_F_11,30,29,7/17/2023,7/17/2023 12:50:00 PM,7/17/2023 20:50:00,,
MB_B1_F_12,30,1,7/17/2023,7/17/2023 12:50:00 PM,7/17/2023 20:50:00,,
MB_B1_F_13,30,33,7/17/2023,7/17/2023 12:50:00 PM,7/17/2023 20:50:00,,
MB_B1_F_14,30,24,7/17/2023,7/17/2023 12:50:00 PM,7/17/2023 20:50:00,M,dead by next AM
MB_B1_M_09,30,56,7/17/2023,7/17/2023 12:50:00 PM,7/17/2023 20:50:00,,
MB_B1_M_10,30,50,7/17/2023,7/17/2023 12:50:00 PM,7/17/2023 20:50:00,,
MB_B1_M_11,30,34,7/17/2023,7/17/2023 12:50:00 PM,7/17/2023 20:50:00,,
MB_B1_M_12,30,45,7/17/2023,7/17/2023 12:50:00 PM,7/17/2023 20:50:00,,
MB_C1_F_10,30,27,7/17/2023,7/17/2023 12:50:00 PM,7/17/2023 20:50:00,,
MB_C1_F_11,30,62,7/17/2023,7/17/2023 12:50:00 PM,7/17/2023 20:50:00,M,
MB_C1_F_12,30,37,7/17/2023,7/17/2023 12:50:00 PM,7/17/2023 20:50:00,,
MB_C1_F_13,30,77,7/17/2023,7/17/2023 12:50:00 PM,7/17/2023 20:50:00,,
MB_C1_F_14,30,51,7/17/2023,7/17/2023 12:50:00 PM,7/17/2023 20:50:00,,
MB_C1_M_11,30,38,7/17/2023,7/17/2023 12:50:00 PM,7/17/2023 20:50:00,,
MB_C1_M_12,30,63,7/17/2023,7/17/2023 12:50:00 PM,7/17/2023 20:50:00,M,
MB_C1_M_13,30,67,7/17/2023,7/17/2023 12:50:00 PM,7/17/2023 20:50:00,M,dead by next AM
MB_C1_M_14,30,58,7/17/2023,7/17/2023 12:50:00 PM,7/17/2023 20:50:00,M,
