Order,wg_ID,test_date,wet_weigh_date,wet_mass,plot_ID,plot_purchase_date,,
1,WG_1,7/17/2023,7/17/2023,0.9902,A,7/16/2023,,
2,1,,,1.1027,A,,,
3,2,,,1.0468,A,,,
4,3,,,1.1462,A,,,
5,4,,,0.9946,A,,,
6,WG_2,,,1.0059,A,,,
7,5,,,1.0055,A,,,
8,6,,,1.0006,A,,,
9,7,,,0.9838,A,,,
10,8,,,1.0371,A,,,
11,WG_3,,,1.0316,A,,,
12,9,,,1.0372,A,,,
13,10,,,0.9849,A,,ctrlA,40
14,11,,,1.0146,A,,,
15,12,,,1.0196,A,,,
16,WG_4,,,1.0262,A,,,
17,13,,,0.996,A,,,
18,14,,,1.117,A,,,
19,15,,,1.0267,A,,,
20,16,,,1.0138,A,,,
21,WG_5,,,1.0047,A,,,
22,17,,,1.0229,A,,,
23,18,,,1.0095,A,,,
24,19,,,1.012,A,,,
25,20,,,1.0292,A,,,
26,WG_6,,,0.9901,A,,dropped and picked back up (then re-weighed),
,21,,,1.0099,A,,,
,22,,,0.9998,A,,,
,23,,,1.005,A,,,
,24,,,1.0045,A,,,
,WG_7,,,1.036,A,,,
,25,,,0.9976,A,,,
,26,,,1.0028,A,,,
,27,,,1.0013,A,,,
,28,,,0.9945,A,,,
,WG_8,,,1.0049,A,,,
,29,,,1.0371,A,,,
,30,,,1.0307,A,,,
,31,,,1.0101,A,,,
,32,,,0.9912,A,,,
,WG_9,,,1.0149,A,,,
,33,,,1.0067,A,,,
,34,,,1.0246,A,,,
,35,,,1.0257,A,,,
,36,,,1.0228,B,,witha tiny bit of A,
,WG_10,,,1.0039,B,,,
,37,,,0.9921,B,,,
,38,,,0.9947,B,,,
,39,,,1.0093,B,,,
,40,,,1.016,B,,possibly lost a strand of wheatgrass (but I think it never got weighed),
,WG_11,,,0.9892,B,,,
,41,,,1.0153,B,,,
,42,,,1.0304,B,,,
,44,,,1.0147,B,,,
,43,,,1.0168,B,,,
,WG_12,,,1.0183,B,,,
,45,,,1.0039,B,,,
,46,,,1.024,B,,,
,47,,,1.0212,B,,,
,48,,,0.9943,B,,,
,WG_13,,,1.0028,B,,,
,49,,,0.993,B,,,
,50,,,1.0185,B,,,
,51,,,1.0042,B,,may have forgotten to pat dry,
,52,,,0.9979,B,,,
,WG_14,,,1.0184,B,,,
,53,,,0.9951,B,,,
,54,,,1.0223,B,,,
,55,,,1.0295,B,,,
,56,,,1.0021,B,,,
,WG_15,,,1.0246,B,,,
,57,,,0.9983,B,,,
,58,,,1,B,,,
,59,,,1.0328,B,,,
,60,,,1.0124,B,,,
,WG_16,,,1.0101,B,,,
,61,,,1.0083,B,,,
,62,,,1.0194,B,,,
,63,,,1.0142,B,,,
,64,,,1.0019,B,,,
,WG_17,,,1.0303,B,,,
,65,,,1.0181,B,,,
,66,,,1.0127,B,,ctrlB,40
,67,,,1.0177,B,,probably slightly less,
,68,,,1.001,C,,half and half B and C,
,WG_18,,,0.9916,C,,,
,69,,,1.0133,C,,,
,70,,,1.01,C,,,
,71,,,1.0064,C,,,
,72,,,0.9918,C,,,
,WG_19,,,1.0015,C,,,
,73,,,1.0018,C,,,
,74,,,1.0071,C,,,
,75,,,1.0315,C,,"dropped, hopefully didn't lose anyrthing",
,76,,,1.0117,C,,,
