full_ID,temp,wg,start_date,start_datetime,end_datetime,is_valid,notes
MS_Eldo_F_01,40,377,8/25/2023,,,,
MS_Eldo_F_02,40,422,8/25/2023,,,,
MS_Eldo_F_03,40,376,8/25/2023,,,,
MS_Eldo_F_04,40,379,8/25/2023,,,,
MS_Eldo_F_05,40,412,8/25/2023,,,,
MS_Eldo_F_06,40,344,8/25/2023,,,M,
MS_Eldo_F_07,40,405,8/25/2023,,,,
MS_Eldo_F_08,40,363,8/25/2023,,,,
MS_Eldo_F_09,40,345,8/25/2023,,,,
MS_Eldo_F_10,40,425,8/25/2023,,,,
MS_Eldo_F_11,30,365,8/25/2023,,,,
MS_Eldo_F_12,30,349,8/25/2023,,,,
MS_Eldo_F_13,30,339,8/25/2023,,,,
MS_Eldo_F_14,30,315,8/25/2023,,,,
MS_Eldo_F_15,30,356,8/25/2023,,,,
MS_Eldo_F_16,37,370,8/25/2023,,,M,
MS_Eldo_F_17,37,309,8/25/2023,,,,
MS_Eldo_F_18,37,353,8/25/2023,,,,
MS_Eldo_F_19,37,,8/25/2023,,,N,presumed dead in AM
MS_Eldo_F_20,37,359,8/25/2023,,,,
,,,,,,,
MS_Eldo_M_01,40,393,8/25/2023,,,,
MS_Eldo_M_02,40,418,8/25/2023,,,,
MS_Eldo_M_03,40,398,8/25/2023,,,,
MS_Eldo_M_04,40,396,8/25/2023,,,,
MS_Eldo_M_05,40,,8/25/2023,,,N,
MS_Eldo_M_06,40,394,8/25/2023,,,,
MS_Eldo_M_07,40,362,8/25/2023,,,,
MS_Eldo_M_08,40,374,8/25/2023,,,N,PM
MS_Eldo_M_09,40,420,8/25/2023,,,,
MS_Eldo_M_10,40,368,8/25/2023,,,,
MS_Eldo_M_11,30,305,8/25/2023,,,,
MS_Eldo_M_12,30,328,8/25/2023,,,,
MS_Eldo_M_13,30,381,8/25/2023,,,,said 281 but meant 381
MS_Eldo_M_14,30,324,8/25/2023,,,,
MS_Eldo_M_15,30,329,8/25/2023,,,,
MS_Eldo_M_16,37,401,8/25/2023,,,,
MS_Eldo_M_17,37,310,8/25/2023,,,,
MS_Eldo_M_18,37,375,8/25/2023,,,,
MS_Eldo_M_19,37,402,8/25/2023,,,,
MS_Eldo_M_20,37,327,8/25/2023,,,,
,,,,,,,
MS_A1_F_01,40,421,8/25/2023,,,,
MS_A1_F_02,40,408,8/25/2023,,,M,
MS_A1_F_03,40,407,8/25/2023,,,,
MS_A1_F_04,40,378,8/25/2023,,,,
MS_A1_F_05,40,411,8/25/2023,,,,
MS_A1_F_06,40,340,8/25/2023,,,,
MS_A1_F_07,40,380,8/25/2023,,,N,PM
MS_A1_F_08,40,415,8/25/2023,,,,
MS_A1_F_09,40,,8/25/2023,,,,
MS_A1_F_10,40,409,8/25/2023,,,N,PM
MS_A1_F_11,30,311,8/25/2023,,,N,PM
MS_A1_F_12,30,died 8/25 AM,8/25/2023,,,,
MS_A1_F_13,30,,8/25/2023,,,,
MS_A1_F_14,30,351,8/25/2023,,,N,PM
MS_A1_F_15,30,325,8/25/2023,,,N,PM
MS_A1_F_16,37,,8/25/2023,,,N,presumed dead in AM
MS_A1_F_17,37,392,8/25/2023,,,,
MS_A1_F_18,37,,8/25/2023,,,N,
MS_A1_F_19,37,388,8/25/2023,,,,
MS_A1_F_20,37,364,8/25/2023,,,M,
,,,,,,,
MS_A1_M_01,40,343,8/25/2023,,,,
MS_A1_M_02,40,371,8/25/2023,,,,
MS_A1_M_03,40,399,8/25/2023,,,,
MS_A1_M_04,40,346,8/25/2023,,,,
MS_A1_M_05,40,342,8/25/2023,,,N,
MS_A1_M_06,40,384,8/25/2023,,,,
MS_A1_M_07,40,369,8/25/2023,,,,
MS_A1_M_08,40,400,8/25/2023,,,M,
MS_A1_M_09,40,321,8/25/2023,,,,
MS_A1_M_10,40,391,8/25/2023,,,,
MS_A1_M_11,30,322,8/25/2023,,,,
MS_A1_M_12,30,301,8/25/2023,,,,
MS_A1_M_13,30,389,8/25/2023,,,,
MS_A1_M_14,30,357,8/25/2023,,,,
MS_A1_M_15,30,302,8/25/2023,,,,
MS_A1_M_16,37,323,8/25/2023,,,,
MS_A1_M_17,37,386,8/25/2023,,,,
MS_A1_M_18,37,354,8/25/2023,,,,
MS_A1_M_19,37,406,8/25/2023,,,,
MS_A1_M_20,37,360,8/25/2023,,,,
,,,,,,,
MS_B1_F_01,40,390,8/25/2023,,,,
MS_B1_F_02,40,413,8/25/2023,,,,
MS_B1_F_03,40,404,8/25/2023,,,,
MS_B1_F_04,40,423,8/25/2023,,,,
MS_B1_F_05,40,,8/25/2023,,,N,
MS_B1_F_06,40,306,8/25/2023,,,,
MS_B1_F_07,40,397,8/25/2023,,,,
MS_B1_F_08,40,358,8/25/2023,,,,
MS_B1_F_09,40,414,8/25/2023,,,,
MS_B1_F_10,40,,8/25/2023,,,,
MS_B1_F_11,30,282 (382?),8/25/2023,,,,
MS_B1_F_12,30,387,8/25/2023,,,,
MS_B1_F_13,30,308,8/25/2023,,,M,
MS_B1_F_14,30,317,8/25/2023,,,M,
MS_B1_F_15,30,314,8/25/2023,,,,
MS_B1_F_16,37,303,8/25/2023,,,,
MS_B1_F_17,37,326,8/25/2023,,,,
MS_B1_F_18,37,350,8/25/2023,,,,
MS_B1_F_19,37,348,8/25/2023,,,,
,,,,,,,
,,,,,,,
MS_B1_M_01,40,320,8/25/2023,,,,
MS_B1_M_02,40,283,8/25/2023,,,,
MS_B1_M_03,40,316,8/25/2023,,,,
MS_B1_M_04,40,403,8/25/2023,,,,
MS_B1_M_05,40,424,8/25/2023,,,,
MS_B1_M_06,40,410,8/25/2023,,,,
MS_B1_M_07,40,417,8/25/2023,,,,
MS_B1_M_08,40,416,8/25/2023,,,,
MS_B1_M_09,40,419,8/25/2023,,,,
MS_B1_M_10,40,318,8/25/2023,,,,
MS_B1_M_11,30,372,8/25/2023,,,,
MS_B1_M_12,30,312,8/25/2023,,,,
MS_B1_M_13,30,319,8/25/2023,,,N,
MS_B1_M_14,30,347,8/25/2023,,,,
MS_B1_M_15,30,352,8/25/2023,,,,
MS_B1_M_16,37,385,8/25/2023,,,,
MS_B1_M_17,37,355,8/25/2023,,,,
MS_B1_M_18,37,304,8/25/2023,,,,
MS_B1_M_19,37,426,8/25/2023,,,,
MS_B1_M_20,37,307,8/25/2023,,,,
MS_B1_M_21,37,395,8/25/2023,,,,
,,,,,,,
,,,,,,,
,,,,,,,
MS_Eldo_F_01,37,430,8/26/2023,,,,
MS_Eldo_F_02,37,373,8/26/2023,,,,
MS_Eldo_F_03,37,459,8/26/2023,,,,lost hind leg in AM
MS_Eldo_F_04,23,437,8/26/2023,,,,
MS_Eldo_F_05,23,450,8/26/2023,,,,laid egg discharge in AM
MS_Eldo_F_06,16,503,8/26/2023,,,M,
MS_Eldo_F_07,16,471,8/26/2023,,,,laid egg discharge in AM
MS_Eldo_F_08,16,480,8/26/2023,,,,
MS_Eldo_F_09,16,446,8/26/2023,,,,
MS_Eldo_F_10,16,451,8/26/2023,,,,
MS_Eldo_F_11,37,313,8/26/2023,,,,
MS_Eldo_F_12,37,444,8/26/2023,,,,
MS_Eldo_F_13,23,492,8/26/2023,,,,
MS_Eldo_F_14,16,488,8/26/2023,,,,
MS_Eldo_F_15,16,484,8/26/2023,,,,
MS_Eldo_F_16,23,,8/26/2023,,,N,dead in AM
MS_Eldo_F_17,23,477,8/26/2023,,,,
MS_Eldo_F_18,16,,8/26/2023,,,,couldn't find in photos
MS_Eldo_F_19,16,,8/26/2023,,,N,dead in AM
MS_Eldo_F_20,16,487,8/26/2023,,,,
,,,,,,,
MS_Eldo_M_01,37,441,8/26/2023,,,,
MS_Eldo_M_02,37,454,8/26/2023,,,,
MS_Eldo_M_03,23,473,8/26/2023,,,,
MS_Eldo_M_04,23,443,8/26/2023,,,,
MS_Eldo_M_05,,,8/26/2023,,,,
MS_Eldo_M_06,16,514,8/26/2023,,,,
MS_Eldo_M_07,16,515,8/26/2023,,,,
MS_Eldo_M_08,,,8/26/2023,,,,
MS_Eldo_M_09,16,464,8/26/2023,,,,
MS_Eldo_M_10,16,505,8/26/2023,,,,
MS_Eldo_M_11,37,462,8/26/2023,,,,
MS_Eldo_M_12,37,460,8/26/2023,,,,
MS_Eldo_M_13,23,485,8/26/2023,,,,
MS_Eldo_M_14,16,500,8/26/2023,,,,
MS_Eldo_M_15,16,496,8/26/2023,,,,
MS_Eldo_M_16,23,447,8/26/2023,,,,
MS_Eldo_M_17,23,476,8/26/2023,,,,
MS_Eldo_M_18,16,494,8/26/2023,,,,
MS_Eldo_M_19,16,431,8/26/2023,,,,
MS_Eldo_M_20,16,465,8/26/2023,,,,
MS_Eldo_M_21,37,435,8/26/2023,,,,
,,,,,,,
MS_A1_F_01,37,361,8/26/2023,,,,
MS_A1_F_02,37,452,8/26/2023,,,N,"laid egg in AM, died in PM"
MS_A1_F_03,23,433,8/26/2023,,,,
MS_A1_F_04,23,469,8/26/2023,,,,
MS_A1_F_05,16,445,8/26/2023,,,,
MS_A1_F_06,16,466,8/26/2023,,,,
MS_A1_F_07,,,8/26/2023,,,,
MS_A1_F_08,,,8/26/2023,,,,
MS_A1_F_09,,,8/26/2023,,,,
MS_A1_F_10,,,8/26/2023,,,,
MS_A1_F_11,,,8/26/2023,,,,
MS_A1_F_12,,,8/26/2023,,,,
MS_A1_F_13,,,8/26/2023,,,,
MS_A1_F_14,,,8/26/2023,,,,
MS_A1_F_15,,,8/26/2023,,,,
MS_A1_F_16,,,8/26/2023,,,,
MS_A1_F_17,23,374,8/26/2023,,,M,lost hind leg in AM
MS_A1_F_18,,,8/26/2023,,,,
MS_A1_F_19,16,498,8/26/2023,,,,
MS_A1_F_20,16,517,8/26/2023,,,N,dead in PM
,,,,,,,
MS_A1_M_01,37,436,8/26/2023,,,,
MS_A1_M_02,37,463,8/26/2023,,,,
MS_A1_M_03,37,427,8/26/2023,,,,
MS_A1_M_04,23,449,8/26/2023,,,,
MS_A1_M_05,,,8/26/2023,,,,
MS_A1_M_06,23,,8/26/2023,,,,can't find in pictures
MS_A1_M_07,16,474,8/26/2023,,,,
MS_A1_M_08,,,8/26/2023,,,,dead in AM (or before?)
MS_A1_M_09,16,513,8/26/2023,,,,
MS_A1_M_10,16,499,8/26/2023,,,,
MS_A1_M_11,37,429,8/26/2023,,,,
MS_A1_M_12,37,461,8/26/2023,,,,
MS_A1_M_13,23,470,8/26/2023,,,,
MS_A1_M_14,16,483,8/26/2023,,,,
MS_A1_M_15,16,478,8/26/2023,,,,
MS_A1_M_16,23,493,8/26/2023,,,,
MS_A1_M_17,23,481,8/26/2023,,,,
MS_A1_M_18,16,448,8/26/2023,,,,
MS_A1_M_19,16,507,8/26/2023,,,,
MS_A1_M_20,16,511,8/26/2023,,,,
,,,,,,,
MS_B1_F_01,37,458,8/26/2023,,,,
MS_B1_F_02,37,432,8/26/2023,,,,
MS_B1_F_03,37,457,8/26/2023,,,,
MS_B1_F_04,23,434,8/26/2023,,,,
MS_B1_F_05,,,8/26/2023,,,,
MS_B1_F_06,23,472,8/26/2023,,,,
MS_B1_F_07,16,516,8/26/2023,,,,
MS_B1_F_08,16,501,8/26/2023,,,,
MS_B1_F_09,16,479,8/26/2023,,,,
MS_B1_F_10,,,8/26/2023,,,,
MS_B1_F_11,37,428,8/26/2023,,,,laid egg discharge in AM
MS_B1_F_12,37,,8/26/2023,,,N,forgot to give wheatgrass
MS_B1_F_13,23,,8/26/2023,,,N,dead in AM
MS_B1_F_14,16,,8/26/2023,,,N,dead in AM
MS_B1_F_15,16,497,8/26/2023,,,,
MS_B1_F_16,23,490,8/26/2023,,,,
MS_B1_F_17,16,508,8/26/2023,,,,
MS_B1_F_18,16,351,8/26/2023,,,,
MS_B1_F_19,16,510,8/26/2023,,,,
,,,,,,,
,,,,,,,
MS_B1_M_01,37,439,8/26/2023,,,,
MS_B1_M_02,37,438,8/26/2023,,,,
MS_B1_M_03,37,453,8/26/2023,,,,
MS_B1_M_04,23,486,8/26/2023,,,,
MS_B1_M_05,23,415,8/26/2023,,,,wg 415 reused since untouched
MS_B1_M_06,16,568,8/26/2023,,,,
MS_B1_M_07,16,467,8/26/2023,,,,
MS_B1_M_08,16,489,8/26/2023,,,,
MS_B1_M_09,16,518,8/26/2023,,,,
MS_B1_M_10,16,591,8/26/2023,,,,
MS_B1_M_11,37,380,8/26/2023,,,,I think reused 380 since last hopper didn't touch it?
MS_B1_M_12,37,440,8/26/2023,,,,
MS_B1_M_13,,,8/26/2023,,,,
MS_B1_M_14,23,495,8/26/2023,,,,
MS_B1_M_15,16,512,8/26/2023,,,,
MS_B1_M_16,23,475,8/26/2023,,,,
MS_B1_M_17,23,456,8/26/2023,,,,
MS_B1_M_18,16,455,8/26/2023,,,,
MS_B1_M_19,16,504,8/26/2023,,,,
MS_B1_M_20,16,509,8/26/2023,,,,
MS_B1_M_21,16,442,8/26/2023,,,,
,,,,,,,
,,,,,,,
MS_Eldo_F_01,23,573,8/28/2023,,,,
MS_Eldo_F_02,30,542,8/28/2023,,,,
MS_Eldo_F_03,43,,8/28/2023,,,,
MS_Eldo_F_04,30,569,8/28/2023,,,,laid egg discharge in AM
MS_Eldo_F_05,43,606,8/28/2023,,,,egg discharge laid in AM
MS_Eldo_F_06,,,8/28/2023,,,,
MS_Eldo_F_07,30,568,8/28/2023,,,,
MS_Eldo_F_08,43,559,8/28/2023,,,,laid an egg in PM
MS_Eldo_F_09,43,586,8/28/2023,,,,
MS_Eldo_F_10,43,557,8/28/2023,,,,
MS_Eldo_F_11,23,540,8/28/2023,,,,
MS_Eldo_F_12,43,558,8/28/2023,,,,
MS_Eldo_F_13,43,547,8/28/2023,,,,
MS_Eldo_F_14,43,594,8/28/2023,,,,
MS_Eldo_F_15,23,598,8/28/2023,,,,
MS_Eldo_F_16,,,8/28/2023,,,,
MS_Eldo_F_17,30,563,8/28/2023,,,,
MS_Eldo_F_18,23,544,8/28/2023,,,,
MS_Eldo_F_19,,,8/28/2023,,,,
MS_Eldo_F_20,30,588,8/28/2023,,,,
,,,8/28/2023,,,,
MS_Eldo_M_01,23,596,8/28/2023,,,,
MS_Eldo_M_02,43,567,8/28/2023,,,,
MS_Eldo_M_03,43,566,8/28/2023,,,,
MS_Eldo_M_04,30,502,8/28/2023,,,,
MS_Eldo_M_05,,,8/28/2023,,,,
MS_Eldo_M_06,23,564,8/28/2023,,,,
MS_Eldo_M_07,23,595,8/28/2023,,,,had written down as 30 but seems to be 23 from pics
MS_Eldo_M_08,,,8/28/2023,,,,
MS_Eldo_M_09,43,579,8/28/2023,,,M,parasites in the AM
MS_Eldo_M_10,43,609,8/28/2023,,,,
MS_Eldo_M_11,23,550,8/28/2023,,,,
MS_Eldo_M_12,43,522,8/28/2023,,,,
MS_Eldo_M_13,43,615,8/28/2023,,,,
MS_Eldo_M_14,30,552,8/28/2023,,,,
MS_Eldo_M_15,43,591,8/28/2023,,,,
MS_Eldo_M_16,43,610,8/28/2023,,,,
MS_Eldo_M_17,43,549,8/28/2023,,,,
MS_Eldo_M_18,43,611,8/28/2023,,,,
MS_Eldo_M_19,30,528,8/28/2023,,,,
MS_Eldo_M_20,23,551,8/28/2023,,,,
MS_Eldo_M_21,30,,8/28/2023,,,,dead in AM? Or just forgot to give WG?
,,,8/28/2023,,,,
MS_A1_F_01,30,519,8/28/2023,,,,
MS_A1_F_02,,,8/28/2023,,,,
MS_A1_F_03,30,524,8/28/2023,,,,
MS_A1_F_04,43,580,8/28/2023,,,,
MS_A1_F_05,30,582,8/28/2023,,,,
MS_A1_F_06,43,584,8/28/2023,,,,
MS_A1_F_07,,,8/28/2023,,,,
MS_A1_F_08,,,8/28/2023,,,,
MS_A1_F_09,,,8/28/2023,,,,
MS_A1_F_10,,,8/28/2023,,,,
MS_A1_F_11,,,8/28/2023,,,,
MS_A1_F_12,,,8/28/2023,,,,
MS_A1_F_13,,,8/28/2023,,,,
MS_A1_F_14,,,8/28/2023,,,,
MS_A1_F_15,,,8/28/2023,,,,
MS_A1_F_16,,,8/28/2023,,,,
MS_A1_F_17,died,,8/28/2023,,,,
MS_A1_F_18,,,8/28/2023,,,,
MS_A1_F_19,43,592,8/28/2023,,,,
MS_A1_F_20,,,8/28/2023,,,,
,,,8/28/2023,,,,
MS_A1_M_01,23,553,8/28/2023,,,,
MS_A1_M_02,30,560,8/28/2023,,,,
MS_A1_M_03,43,577,8/28/2023,,,,
MS_A1_M_04,30,521,8/28/2023,,,,
MS_A1_M_05,,,8/28/2023,,,,
MS_A1_M_06,43,,8/28/2023,,,,
MS_A1_M_07,23,555,8/28/2023,,,M,died the day after
MS_A1_M_08,,,8/28/2023,,,,
MS_A1_M_09,30,506,8/28/2023,,,,
MS_A1_M_10,43,608,8/28/2023,,,,
MS_A1_M_11,23,556,8/28/2023,,,,
MS_A1_M_12,43,561,8/28/2023,,,,
MS_A1_M_13,43,581,8/28/2023,,,,
MS_A1_M_14,43,585,8/28/2023,,,,
MS_A1_M_15,43,570,8/28/2023,,,,
MS_A1_M_16,43,590,8/28/2023,,,,
MS_A1_M_17,30,572,8/28/2023,,,,
MS_A1_M_18,23,527,8/28/2023,,,,
MS_A1_M_19,43,614,8/28/2023,,,,Egg discharge laid in AM
MS_A1_M_20,43,603,8/28/2023,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
MS_A1_F_21,23,,8/28/2023,,,,GUESS NOT ON 8/28?
MS_A1_F_22,30,,8/28/2023,,,,
MS_A1_F_23,30,,8/28/2023,,,,
MS_A1_F_24,30,,8/28/2023,,,,
MS_A1_F_25,23,,8/28/2023,,,,
MS_A1_F_26,30,,8/28/2023,,,,
MS_A1_F_27,30,,8/28/2023,,,,
MS_A1_F_28,30,,8/28/2023,,,,
MS_A1_F_29,23,,8/28/2023,,,,
MS_A1_F_30,23,,8/28/2023,,,,
MS_A1_F_31,,,,,,,
MS_A1_F_32,23,,8/28/2023,,,,
MS_A1_F_33,23,,8/28/2023,,,,
,,,,,,,
MS_B1_F_01,30,532,8/28/2023,,,,
MS_B1_F_02,23,589,8/28/2023,,,,
MS_B1_F_03,43,607,8/28/2023,,,,
MS_B1_F_04,43,575,8/28/2023,,,,
MS_B1_F_05,,,8/28/2023,,,,
MS_B1_F_06,43,574,8/28/2023,,,,
MS_B1_F_07,30,548,8/28/2023,,,,
MS_B1_F_08,23,545,8/28/2023,,,,egg discharge laid in AM
MS_B1_F_09,43,583,8/28/2023,,,,
MS_B1_F_10,,,8/28/2023,,,,
MS_B1_F_11,43,587,8/28/2023,,,,
MS_B1_F_12,43,565,8/28/2023,,,,
MS_B1_F_13,,,8/28/2023,,,,
MS_B1_F_14,,,8/28/2023,,,,
MS_B1_F_15,23,541,8/28/2023,,,,
MS_B1_F_16,30,530,8/28/2023,,,,
MS_B1_F_17,23,599,8/28/2023,,,,
MS_B1_F_18,43,562,8/28/2023,,,,
MS_B1_F_19,43,602,8/28/2023,,,,
,,,,,,,
,,,,,,,
MS_B1_M_01,30,526,8/28/2023,,,,
MS_B1_M_02,23,543,8/28/2023,,,,
MS_B1_M_03,43,597,8/28/2023,,,,
MS_B1_M_04,30,531,8/28/2023,,,,
MS_B1_M_05,43,613,8/28/2023,,,,
MS_B1_M_06,30,520,8/28/2023,,,,
MS_B1_M_07,23,538,8/28/2023,,,,
MS_B1_M_08,43,571,8/28/2023,,,,
MS_B1_M_09,43,605,8/28/2023,,,,
