full_ID,ID,site,sex,mass,notes,death_date
MS_Eldo_F_01,1,Eldo,F,0.4651,,
MS_Eldo_F_02,2,Eldo,F,0.4271,,
MS_Eldo_F_03,3,Eldo,F,0.4561,,
MS_Eldo_F_04,4,Eldo,F,0.4565,,
MS_Eldo_F_05,5,Eldo,F,0.5327,,
MS_Eldo_F_06,6,Eldo,F,0.4746,,
MS_Eldo_F_07,7,Eldo,F,0.4817,,
MS_Eldo_F_08,8,Eldo,F,0.3379,,
MS_Eldo_F_09,9,Eldo,F,0.1932,,
MS_Eldo_F_10,10,Eldo,F,0.3728,,
MS_Eldo_F_11,11,Eldo,F,0.4664,,
MS_Eldo_F_12,12,Eldo,F,0.465,,
MS_Eldo_F_13,13,Eldo,F,0.3902,,
MS_Eldo_F_14,14,Eldo,F,0.4833,,
MS_Eldo_F_15,15,Eldo,F,0.4393,,
MS_Eldo_F_16,16,Eldo,F,0.3908,,
MS_Eldo_F_17,17,Eldo,F,0.5357,,
MS_Eldo_F_18,18,Eldo,F,0.3774,mrhl,
MS_Eldo_F_19,19,Eldo,F,0.4996,,
MS_Eldo_F_20,20,Eldo,F,0.3757,laid egg 8/25 AM,
,,,,,,
MS_Eldo_M_01,1,Eldo,M,0.3371,,
MS_Eldo_M_02,2,Eldo,M,0.1872,,
MS_Eldo_M_03,3,Eldo,M,0.3769,,
MS_Eldo_M_04,4,Eldo,M,0.3583,,
MS_Eldo_M_05,5,Eldo,M,0.2088,,
MS_Eldo_M_06,6,Eldo,M,0.3535,,
MS_Eldo_M_07,7,Eldo,M,0.3296,,
MS_Eldo_M_08,8,Eldo,M,0.1713,,
MS_Eldo_M_09,9,Eldo,M,0.3151,,
MS_Eldo_M_10,10,Eldo,M,0.2827,,
MS_Eldo_M_11,11,Eldo,M,0.3024,,
MS_Eldo_M_12,12,Eldo,M,0.2761,,
MS_Eldo_M_13,13,Eldo,M,0.3943,,
MS_Eldo_M_14,14,Eldo,M,0.3104,,
MS_Eldo_M_15,15,Eldo,M,0.3352,,
MS_Eldo_M_16,16,Eldo,M,0.4069,,
MS_Eldo_M_17,17,Eldo,M,0.2969,"mites, removed most",
MS_Eldo_M_18,18,Eldo,M,0.3424,"mites, removed most",
MS_Eldo_M_19,19,Eldo,M,0.2832,,
MS_Eldo_M_20,20,Eldo,M,0.3077,mrhl,
MS_Eldo_M_21,21,Eldo,M,0.3842,mlhl,
MS_A1_F_01,1,A1,F,0.4113,,
MS_A1_F_02,2,A1,F,0.4024,mlhl,
MS_A1_F_03,3,A1,F,0.4381,,
MS_A1_F_04,4,A1,F,0.3794,,
MS_A1_F_05,5,A1,F,0.396,,
MS_A1_F_06,6,A1,F,0.3164,,
MS_A1_F_07,7,A1,F,0.373,,
MS_A1_F_08,8,A1,F,0.4938,,
MS_A1_F_09,9,A1,F,0.3935,,
MS_A1_F_10,10,A1,F,0.4001,,
MS_A1_F_11,11,A1,F,0.381,,
MS_A1_F_12,12,A1,F,0.425,,
MS_A1_F_13,13,A1,F,0.2045,,
MS_A1_F_14,14,A1,F,0.4254,,
MS_A1_F_15,15,A1,F,0.3223,mrhl,
MS_A1_F_16,16,A1,F,0.2634,,
MS_A1_F_17,17,A1,F,0.4609,,
MS_A1_F_18,18,A1,F,0.3736,,
MS_A1_F_19,19,A1,F,0.4499,,
MS_A1_F_20,20,A1,F,0.3227,,
,,,,,,
MS_A1_M_01,1,A1,M,0.2631,,
MS_A1_M_02,2,A1,M,0.3251,,
MS_A1_M_03,3,A1,M,0.2687,,
MS_A1_M_04,4,A1,M,0.3553,,
MS_A1_M_05,5,A1,M,0.4533,,
MS_A1_M_06,6,A1,M,0.2724,,
MS_A1_M_07,7,A1,M,0.3494,,
MS_A1_M_08,8,A1,M,0.2744,,
MS_A1_M_09,9,A1,M,0.3373,,
MS_A1_M_10,10,A1,M,0.264,,
MS_A1_M_11,11,A1,M,0.233,,
MS_A1_M_12,12,A1,M,0.3344,,
MS_A1_M_13,13,A1,M,0.386,mrhl,
MS_A1_M_14,14,A1,M,0.288,,
MS_A1_M_15,15,A1,M,0.4207,,
MS_A1_M_16,16,A1,M,0.2186,mrhl,
MS_A1_M_17,17,A1,M,0.273,,
MS_A1_M_18,18,A1,M,0.2352,,
MS_A1_M_19,19,A1,M,0.3212,,
MS_A1_M_20,20,A1,M,0.3459,,
,,,,,,
MS_B1_F_01,1,B1,F,0.3323,,
MS_B1_F_02,2,B1,F,0.3662,,
MS_B1_F_03,3,B1,F,0.2184,,
MS_B1_F_04,4,B1,F,0.4175,,
MS_B1_F_05,5,B1,F,0.313,mrhl,
MS_B1_F_06,6,B1,F,0.422,,
MS_B1_F_07,7,B1,F,0.2535,,
MS_B1_F_08,8,B1,F,0.471,,
MS_B1_F_09,9,B1,F,0.4389,,
MS_B1_F_10,10,B1,F,0.2167,,
MS_B1_F_11,11,B1,F,0.4822,,
MS_B1_F_12,12,B1,F,0.2558,,
MS_B1_F_13,13,B1,F,0.2581,,
