Order,wg_ID,test_date,wet_weigh_date,wet_mass,plot_ID,plot_purchase_date,,,,,old_plot_ID
,301,08/25/2023,08/24/2023,1.0056,J,,,,,,A
,302,,,1.0364,J,,,,,,
,303,,,1.0156,J,,,,,,
,304,,,1.0132,J,,,,,,
,305,,,1.0117,J,,,,,,
,306,,,0.9862,J,,,,,,
,307,,,1.0147,J,,,,,,
,308,,,1.0188,J,,,,,,
,WG_100,,,0.9865,J,,,,,,
,309,,,0.9894,J,,,,,,
,310,,,1.0069,J,,,,,,
,311,,,0.9956,J,,,,,,
,312,,,1.0241,J,,,,,,
,313,,,1.0039,J,,,,,,
,314,,,1.0378,J,,,,,,
,315,,,1.0185,J,,,,,,
,316,,,1.0309,J,,,,,,
,WG_101,,,1.0172,J,,,,,,
,317,,,1.0108,J,,,,,,
,318,,,0.9882,J,,,,,,
,319,,,1.0168,J,,,,,,
,320,,,1.0271,J,,,,,,
,321,,,1.0129,J,,,,,,
,322,,,1.024,J,,,,,,
,323,,,1.0262,J,,,,,,
,324,,,1.0123,J,,,,,,
,WG_102,,,1.0286,J,,,,,,
,325,,,0.9951,J,,,,,,
,326,,,0.9961,J,,,,,,
,327,,,1.0303,J,,,,,,
,328,,,0.9959,J,,,,,,
,329,,,1.02,J,,,,,,
,330,,,0.9888,K,accurate,,,,,B
,331,,,0.9952,K,,,ctrlB,30,,
,332,,,0.9869,K,ctrl,8/26,,,,
,WG_103,,,1.0284,K,,,,,,
,333,,,1.0024,K,ctrl,,ctrlC,37,possible error of 1 strand out of ~17 (recorded mass is heavier than reality),
,334,,,0.9919,K,,,ctrlD,37,,
,335,,,0.9911,K,,,,,,
,336,,,1.0218,K,ctrls,8/26,,,,
,337,,,1.0247,K,ctrls,,,,,
,338,,,1.0117,K,ctrls,8/26,,,,
,339,,,0.9971,K,ctrls,,,,,
,340,,,0.9893,K,ctrls,,,,,
,WG_104,,,0.9901,K,ctrls!,,,,,
,341,,,??,K,nothing,8/26 ctrl,forgot to write??,,,
,342,,,0.9956,K,picked up after break at 3AM,,accurate (I hope),,,
,343,,,0.9992,K,,,,,,
,344,,,1.0388,K,,,,,,
,345,,,1.0232,K,,,,,,
,346,,,1.0296,K,,,,,,
,347,,,0.9862,K,,,,,,
,348,,,1.0172,K,,,,,,
,WG_105,,,1.0238,K,,,,,,
,349,,,1.0336,K,,,,,,
,350,,,1.013,K,,,,,,
,351,,,1.0057,K,,,,,,
,352,,,0.9904,K,,,,,,
,353,,,0.9934,K,,,,,,
,354,,,1.01,K,,,,,,
,355,,,1.0324,K,,,,,,
,356,,,1.0098,K,,,,,,
,WG_106,,,1.0109,K,,,,,,
,357,,,1.0283,K,,,,,,
,358,,,0.9926,K,,,,,,
,359,,,1.0214,K,,,,,,
,360,,,1.0297,K,,,,,,
,361,,,1.0266,K,,8/26,,,,
,362,,,0.9837,K,,,,,,
,363,,,1.0375,K,,,,,,
,364,,,1.0283,L,,,,,,B/C
,WG_107,,,1.0088,L,,,,,,C
,365,,,1.0042,L,,,,,,
,366,,,1.0176,L,ctrl,8/26,,,,
,367,,,1.0176,L,ctrl,8/26,,,,
,368,,,1.0267,L,,,,,,
,369,,,1.0353,L,,,,,,
,370,,,0.9961,L,,,,,,
,371,,,1.0119,L,,,,,,
,372,,,1.0171,L,,,,,,
,WG_108,,,0.9998,L,,,,,,good
,373,,,1.0273,L,,8/26,,,,
,374,,,1.0028,L,,,,,,
,375,,,1.0026,L,,,,,,
,376,,,1.0171,L,,,,,,
,377,,,1.0365,L,ctrl,,,,,?
,378,,,,L,ctrl,,,,,?
,379,,,0.9891,L,,,,,,
,380,,,1.0158,L,,,,,,
,WG_109,,,1.0015,L,,,,,,
,381,,,1.0063,L,,,,,,
,382,,,1.0232,L,,,,,,
,383,,,1.0134,L,,,,,,
,384,,,1.0008,L,,,,,,
,385,,,1.0117,L,,,,,,
,386,,,0.9829,L,,,,,,
,387,,,0.9826,L,,,,,,
,388,,,1.0158,L,,,,,,
,WG_110,,,0.9948,L,,,,,,
,389,,,0.9885,L,,,,,,
,390,,,1.0321,L,,,,,,
,391,,,1.007,L,,,,,,
,392,,,0.988,L,,,,,,
,393,,,0.9938,L,,,,,,
,394,,,0.9985,L,,,,,,
,395,,,1.0174,L,,,,,,
,396,,,1.0121,L,,,,,,
,WG_111,,,1.0318,L,,,,,,
,397,,,1.0095,L,,,,,,
,398,,,1.0007,L,,,,,,
,399,,,1.0271,L,,,,,,
,400,,,1.0008,M,,,,,,D
,401,,,0.9886,M,,,,,,
,402,,,0.9942,M,,,,,,
