container,block,sex,treatment,hopper_mass_before,feces_mg_hr,consumption_mg_hr,hopper_mass_after,feces_dry_mass,total_consumption,plant_wet_mass_before,plant_dry_mass_before,plant_dry_mass_after
606,d,f,27,0.437,0,0.1,0.447,0,0.0007654,0.961,0.2647654,0.264
605,e,f,27,0.642,2,3.5,0.566,0.012,0.0210184,0.856,0.2310184,0.21
604,c,f,27,0.656,0,5.2,0.662,0,0.0309834,0.831,0.2229834,0.192
605,c,f,27,0.702,1.8,5.5,0.763,0.011,0.03316,0.9,0.24516,0.212
606,c,f,27,0.512,3.3,7.2,0.562,0.02,0.0434838,0.817,0.2184838,0.175
604,e,f,27,0.469,5.8,7.5,0.47,0.035,0.0449094,0.921,0.2519094,0.207
605,d,f,27,0.495,2.2,8.2,0.544,0.013,0.0490176,0.884,0.2400176,0.191
604,d,f,27,0.58,7.2,12.8,0.7,0.043,0.0770192,0.828,0.2220192,0.145
606,b,f,27,0.587,3,17.9,0.616,0.018,0.1073016,0.944,0.2593016,0.152
604,b,f,27,0.897,2.5,18.1,0.927,0.015,0.1085196,0.814,0.2175196,0.109
605,b,f,27,0.63,6,28.7,0.727,0.036,0.1724082,0.963,0.2654082,0.093
612,d,f,33,1.079,2.2,3.9,0.999,0.013,0.0232666,0.919,0.2512666,0.228
612,e,f,33,0.59,2.3,4.5,0.547,0.014,0.0271958,0.897,0.2441958,0.217
610,e,f,33,0.505,2.7,4.9,0.517,0.016,0.0292674,0.891,0.2422674,0.213
610,d,f,33,0.576,2.8,6.1,0.614,0.017,0.0365172,0.898,0.2445172,0.208
612,c,f,33,0.611,2.7,10.4,0.658,0.016,0.062269,0.835,0.224269,0.162
610,b,f,33,0.745,3.3,12.3,0.692,0.02,0.0739794,0.971,0.2679794,0.194
611,c,f,33,0.694,6.7,14.9,0.675,0.04,0.0892324,0.866,0.2342324,0.145
611,d,f,33,0.792,9.2,15.3,0.763,0.055,0.0916612,0.858,0.2316612,0.14
612,b,f,33,0.578,6.3,19,0.642,0.038,0.11409,0.85,0.22909,0.115
610,c,f,33,0.677,8,19.2,0.72,0.048,0.1149802,0.943,0.2589802,0.144
611,b,f,33,0.664,11.3,31.9,0.778,0.068,0.1915888,0.892,0.2425888,0.051
618,e,f,40,0.42,0,0.3,0.413,0,0.001553,0.895,0.243553,0.242
617,e,f,40,0.507,0,0.8,0.464,0,0.0048036,0.874,0.2368036,0.232
616,e,f,40,0.605,1.3,0.9,0.569,0.008,0.0055188,0.842,0.2265188,0.221
617,c,f,40,0.434,2.2,7.4,0.424,0.013,0.0445196,0.814,0.2175196,0.173
616,d,f,40,0.575,1.8,8.4,0.57,0.011,0.0506596,0.914,0.2496596,0.199
616,b,f,40,0.586,2.8,10.6,0.569,0.017,0.0635196,0.814,0.2175196,0.154
618,d,f,40,0.474,8.2,15.1,0.533,0.049,0.0903382,0.913,0.2493382,0.159
617,b,f,40,0.794,4.5,16.7,0.789,0.027,0.1002674,0.891,0.2422674,0.142
618,b,f,40,0.615,6.3,17.8,0.615,0.038,0.1068012,0.958,0.2638012,0.157
617,d,f,40,0.608,15.3,21,0.591,0.092,0.125981,0.915,0.249981,0.124
616,c,f,40,0.973,19,31.9,0.986,0.114,0.1913724,0.966,0.2663724,0.075
623,d,f,46,1.073,1.7,-5.2,0.909,0.01,-0.0314812,0.842,0.2265188,0.258
624,d,f,46,0.582,0,-3.3,0.534,0,-0.01977,0.95,0.26123,0.281
622,d,f,46,0.975,3.8,-0.4,0.932,0.023,-0.0021598,0.843,0.2268402,0.229
622,e,f,46,0.617,0,0.5,0.576,0,0.0030908,0.822,0.2200908,0.217
623,c,f,46,0.746,1,3.3,0.664,0.006,0.0200908,0.822,0.2200908,0.2
624,e,f,46,0.819,6,6.7,0.733,0.036,0.0400892,0.878,0.2380892,0.198
623,b,f,46,0.668,4.2,9.6,0.664,0.025,0.0578736,0.924,0.2528736,0.195
624,c,f,46,0.428,3.2,10,0.435,0.019,0.0601958,0.897,0.2441958,0.184
623,e,f,46,0.603,5.5,12,0.555,0.033,0.0721966,0.869,0.2351966,0.163
