dt,site,clim_var,value
2023-08-11T07:01:00Z,B1,sr,0
2023-08-11T07:02:00Z,B1,sr,0
2023-08-11T07:03:00Z,B1,sr,0
2023-08-11T07:03:00Z,C1,sr,0
2023-08-11T07:04:00Z,C1,sr,0
2023-08-11T07:05:00Z,C1,sr,0
2023-08-11T07:13:00Z,B1,sr,0
2023-08-11T07:14:00Z,B1,sr,0
2023-08-11T07:15:00Z,B1,sr,0
2023-08-11T07:15:00Z,C1,sr,0
2023-08-11T07:16:00Z,C1,sr,0
2023-08-11T07:17:00Z,C1,sr,0
2023-08-11T07:25:00Z,B1,sr,0
2023-08-11T07:26:00Z,B1,sr,0
2023-08-11T07:27:00Z,B1,sr,0
2023-08-11T07:27:00Z,C1,sr,0
2023-08-11T07:28:00Z,C1,sr,0
2023-08-11T07:29:00Z,C1,sr,0
2023-08-11T07:38:00Z,B1,sr,0
2023-08-11T07:39:00Z,B1,sr,0
2023-08-11T07:40:00Z,C1,sr,0
2023-08-11T07:41:00Z,C1,sr,0
2023-08-11T07:50:00Z,B1,sr,0
2023-08-11T07:51:00Z,B1,sr,0
2023-08-11T07:52:00Z,B1,sr,0
2023-08-11T07:52:00Z,C1,sr,0
2023-08-11T07:53:00Z,C1,sr,0
2023-08-11T07:54:00Z,C1,sr,0
2023-08-11T08:02:00Z,B1,sr,0
2023-08-11T08:03:00Z,B1,sr,0
2023-08-11T08:04:00Z,B1,sr,0
2023-08-11T08:04:00Z,C1,sr,0
2023-08-11T08:05:00Z,C1,sr,0
2023-08-11T08:06:00Z,C1,sr,0
2023-08-11T08:14:00Z,B1,sr,0
2023-08-11T08:15:00Z,B1,sr,0
2023-08-11T08:16:00Z,B1,sr,0
2023-08-11T08:16:00Z,C1,sr,0
2023-08-11T08:17:00Z,C1,sr,0
2023-08-11T08:18:00Z,C1,sr,0
2023-08-11T08:26:00Z,B1,sr,0
2023-08-11T08:27:00Z,B1,sr,0
2023-08-11T08:28:00Z,B1,sr,0
2023-08-11T08:28:00Z,C1,sr,0
2023-08-11T08:29:00Z,C1,sr,0
2023-08-11T08:30:00Z,C1,sr,0
2023-08-11T08:38:00Z,B1,sr,0
2023-08-11T08:39:00Z,B1,sr,0
2023-08-11T08:40:00Z,B1,sr,0
2023-08-11T08:40:00Z,C1,sr,0
2023-08-11T08:41:00Z,C1,sr,0
2023-08-11T08:42:00Z,C1,sr,0
2023-08-11T08:50:00Z,B1,sr,0
2023-08-11T08:51:00Z,B1,sr,0
2023-08-11T08:52:00Z,B1,sr,0
2023-08-11T08:52:00Z,C1,sr,0
2023-08-11T08:53:00Z,C1,sr,0
2023-08-11T08:54:00Z,C1,sr,0
2023-08-11T18:05:00Z,B1,sr,1449.375
2023-08-11T18:06:00Z,B1,sr,1446.111111111111
2023-08-11T18:07:00Z,B1,sr,1446
2023-08-11T18:07:00Z,C1,sr,1584.7142857142858
2023-08-11T18:08:00Z,C1,sr,1586.3333333333333
2023-08-11T18:09:00Z,C1,sr,1590.5
2023-08-11T18:17:00Z,B1,sr,1474.7142857142858
2023-08-11T18:18:00Z,B1,sr,1452.6666666666667
2023-08-11T18:19:00Z,B1,sr,1475.5
2023-08-11T18:19:00Z,C1,sr,1616.142857142857
2023-08-11T18:20:00Z,C1,sr,1617.25
2023-08-11T18:21:00Z,C1,sr,1619
2023-08-11T18:29:00Z,B1,sr,1586.2857142857142
2023-08-11T18:30:00Z,B1,sr,1363.625
2023-08-11T18:31:00Z,B1,sr,1089
2023-08-11T18:31:00Z,C1,sr,1645
2023-08-11T18:32:00Z,C1,sr,1645.7777777777778
2023-08-11T18:33:00Z,C1,sr,1646.6666666666667
2023-08-11T18:41:00Z,B1,sr,1658.3333333333333
2023-08-11T18:42:00Z,B1,sr,1473.111111111111
2023-08-11T18:43:00Z,B1,sr,1292.3333333333333
2023-08-11T18:43:00Z,C1,sr,1680.3333333333333
2023-08-11T18:44:00Z,C1,sr,1683.5
2023-08-11T18:45:00Z,C1,sr,1688.25
2023-08-11T18:53:00Z,B1,sr,1303.5
2023-08-11T18:54:00Z,B1,sr,1630.6666666666667
2023-08-11T18:55:00Z,B1,sr,1649.3333333333333
2023-08-11T18:55:00Z,C1,sr,1704.2
2023-08-11T18:56:00Z,C1,sr,1705.111111111111
2023-08-11T18:57:00Z,C1,sr,1709.5
2023-08-11T19:05:00Z,B1,sr,1693
2023-08-11T19:06:00Z,B1,sr,1570.111111111111
2023-08-11T19:07:00Z,B1,sr,1705.75
2023-08-11T19:07:00Z,C1,sr,1725
2023-08-11T19:08:00Z,C1,sr,1770
2023-08-11T19:09:00Z,C1,sr,1751.4
2023-08-11T19:17:00Z,B1,sr,225.2
2023-08-11T19:18:00Z,B1,sr,221
2023-08-11T19:19:00Z,B1,sr,196.5
2023-08-11T19:19:00Z,C1,sr,1481.25
2023-08-11T19:20:00Z,C1,sr,1594.888888888889
2023-08-11T19:21:00Z,C1,sr,1605.6
2023-08-11T19:29:00Z,B1,sr,737.6
2023-08-11T19:30:00Z,B1,sr,858
2023-08-11T19:31:00Z,B1,sr,1203
2023-08-11T19:31:00Z,C1,sr,1670
2023-08-11T19:32:00Z,C1,sr,1791.5555555555557
2023-08-11T19:33:00Z,C1,sr,1779.6666666666667
2023-08-11T19:41:00Z,B1,sr,20.25
2023-08-11T19:42:00Z,B1,sr,26.88888888888889
2023-08-11T19:43:00Z,B1,sr,76.8
2023-08-11T19:43:00Z,C1,sr,1394.3333333333333
2023-08-11T19:44:00Z,C1,sr,1466.888888888889
2023-08-11T19:45:00Z,C1,sr,1570.8333333333333
2023-08-11T19:53:00Z,B1,sr,1316.5
2023-08-11T19:54:00Z,B1,sr,1800.888888888889
2023-08-11T19:55:00Z,B1,sr,1636.2
2023-08-11T19:55:00Z,C1,sr,1624
2023-08-11T19:56:00Z,C1,sr,1695.375
2023-08-11T19:57:00Z,C1,sr,1731.142857142857
2023-08-11T20:05:00Z,B1,sr,1904.6666666666667
2023-08-11T20:06:00Z,B1,sr,1879.4444444444443
2023-08-11T20:07:00Z,B1,sr,1870.1666666666667
2023-08-11T20:07:00Z,C1,sr,1925
2023-08-11T20:08:00Z,C1,sr,1906.888888888889
2023-08-11T20:09:00Z,C1,sr,1806.857142857143
2023-08-11T20:17:00Z,B1,sr,1867.5
2023-08-11T20:18:00Z,B1,sr,1869.6666666666667
2023-08-11T20:19:00Z,B1,sr,1893.2857142857142
2023-08-11T20:19:00Z,C1,sr,2060
2023-08-11T20:20:00Z,C1,sr,608
2023-08-11T20:21:00Z,C1,sr,185.375
2023-08-11T20:29:00Z,B1,sr,1945
2023-08-11T20:30:00Z,B1,sr,628.6666666666666
2023-08-11T20:31:00Z,B1,sr,312.375
2023-08-11T20:31:00Z,C1,sr,309
2023-08-11T20:32:00Z,C1,sr,305.55555555555554
2023-08-11T20:33:00Z,C1,sr,305.14285714285717
2023-08-11T20:41:00Z,B1,sr,555
2023-08-11T20:42:00Z,B1,sr,513.3333333333334
2023-08-11T20:43:00Z,B1,sr,436.875
2023-08-11T20:43:00Z,C1,sr,362.5
2023-08-11T20:44:00Z,C1,sr,368.1111111111111
2023-08-11T20:45:00Z,C1,sr,372.2857142857143
2023-08-11T20:53:00Z,B1,sr,331
2023-08-11T20:54:00Z,B1,sr,333
2023-08-11T20:55:00Z,B1,sr,334.75
2023-08-11T20:55:00Z,C1,sr,310
2023-08-11T20:56:00Z,C1,sr,302
2023-08-11T20:57:00Z,C1,sr,291.42857142857144
2023-08-11T21:05:00Z,B1,sr,297
2023-08-11T21:06:00Z,B1,sr,304.6666666666667
